formula,Crystal System,band_gap_calculated (eV)
BaAg2,Orthorhombic,0
BaAg5,Hexagonal,0
BaAl,Orthorhombic,0
BaAl2,Cubic,0
BaAl4,Tetragonal,0
BaAs2,Monoclinic,0.4145
BaAs3,Monoclinic,0
BaAu,Orthorhombic,0
BaAu2,Hexagonal,0
BaAu5,Hexagonal,0
BaB6,Cubic,0
BaBe13,Cubic,0
BaBi3,Cubic,0
BaBi5,Monoclinic,0
BaBr2,Orthorhombic,4.3731
BaBr3,Hexagonal,0
BaC,Cubic,0
BaC10,Cubic,0.1823
BaC2,Monoclinic,2.1291
BaC2,Orthorhombic,2.9153
BaC2,Tetragonal,0.808
BaC2,Trigonal,1.3754
BaC20,Cubic,0.1463
BaC6,Hexagonal,0
BaCa,Orthorhombic,0
BaCa,Tetragonal,0
BaCa3,Cubic,0
BaCa3,Hexagonal,0
BaCa3,Tetragonal,0
BaCa3,Trigonal,0
BaCd,Cubic,0
BaCd11,Tetragonal,0
BaCd2,Orthorhombic,0
BaCd3,Hexagonal,0
BaCd3,Orthorhombic,0
BaCe,Hexagonal,0
BaCe3,Hexagonal,0
BaCl2,Cubic,5.4291
BaCl2,Hexagonal,4.5724
BaCl2,Orthorhombic,5.1132
BaCu,Hexagonal,0
BaCu13,Cubic,0
BaDy,Hexagonal,0
BaEu3,Cubic,0
BaEu3,Hexagonal,0
BaEu3,Tetragonal,0
BaF2,Cubic,6.6029
BaF2,Hexagonal,5.9306
BaF2,Orthorhombic,6.8553
BaF3,Monoclinic,1.0954
BaF3,Orthorhombic,0.5763
BaF3,Tetragonal,0
BaFe12,Hexagonal,0
BaGa2,Hexagonal,0
BaGa4,Tetragonal,0
BaGe,Orthorhombic,0
BaGe2,Orthorhombic,0.5255
BaGe2,Tetragonal,0
BaGe3,Hexagonal,0
BaGe3,Tetragonal,0
BaGe5,Orthorhombic,0
BaGe6,Orthorhombic,0
BaH2,Hexagonal,1.6461
BaH2,Orthorhombic,2.8697
BaHg,Cubic,0
BaHg11,Cubic,0
BaHg2,Hexagonal,0
BaHg3,Hexagonal,0
BaHg6,Orthorhombic,0
BaI2,Hexagonal,3.0488
BaI2,Orthorhombic,3.4525
BaIn,Orthorhombic,0
BaIn2,Orthorhombic,0
BaIn4,Tetragonal,0
BaLa3,Cubic,0
BaLa3,Hexagonal,0
BaLi4,Hexagonal,0
BaMg,Orthorhombic,0
BaMg149,Hexagonal,0.3622
BaMg15,Hexagonal,0
BaMg2,Hexagonal,0
BaMg3,Cubic,0
BaMg3,Orthorhombic,0
BaMg7,Hexagonal,0
BaMn28,Cubic,0
BaN,Cubic,0
BaN2,Monoclinic,0
BaN6,Monoclinic,3.8146
BaNa,Cubic,0.04395
BaNa2,Hexagonal,0
